<20,15>
0,0:2
1,0:1
2,0:2
3,0:2
4,0:2
5,0:2
6,0:1
7,0:1
8,0:2
9,0:2
10,0:1
11,0:2
12,0:1
13,0:2
14,0:2
15,0:1
16,0:1
17,0:1
18,0:1
19,0:1
0,1:2
1,1:1
2,1:2
3,1:2
4,1:1
5,1:1
6,1:1
7,1:2
8,1:2
9,1:2
10,1:2
11,1:1
12,1:1
13,1:1
14,1:2
15,1:2
16,1:2
17,1:1
18,1:2
19,1:1
0,2:2
1,2:2
2,2:2
3,2:2
4,2:1
5,2:2
6,2:1
7,2:1
8,2:2
9,2:1
10,2:2
11,2:1
12,2:2
13,2:1
14,2:1
15,2:2
16,2:1
17,2:1
18,2:1
19,2:2
0,3:2
1,3:2
2,3:1
3,3:2
4,3:1
5,3:2
6,3:1
7,3:2
8,3:2
9,3:2
10,3:1
11,3:2
12,3:1
13,3:2
14,3:1
15,3:2
16,3:1
17,3:1
18,3:2
19,3:1
0,4:2
1,4:1
2,4:1
3,4:1
4,4:1
5,4:1
6,4:2
7,4:2
8,4:1
9,4:2
10,4:1
11,4:1
12,4:1
13,4:1
14,4:2
15,4:1
16,4:1
17,4:1
18,4:1
19,4:2
0,5:2
1,5:1
2,5:1
3,5:1
4,5:2
5,5:2
6,5:2
7,5:1
8,5:2
9,5:1
10,5:1
11,5:1
12,5:2
13,5:1
14,5:1
15,5:2
16,5:2
17,5:2
18,5:1
19,5:2
0,6:1
1,6:2
2,6:2
3,6:2
4,6:2
5,6:2
6,6:2
7,6:2
8,6:2
9,6:2
10,6:2
11,6:1
12,6:2
13,6:2
14,6:1
15,6:2
16,6:1
17,6:2
18,6:2
19,6:1
0,7:1
1,7:2
2,7:1
3,7:2
4,7:2
5,7:2
6,7:1
7,7:1
8,7:1
9,7:2
10,7:1
11,7:2
12,7:1
13,7:2
14,7:1
15,7:2
16,7:1
17,7:2
18,7:2
19,7:2
0,8:2
1,8:1
2,8:1
3,8:1
4,8:2
5,8:1
6,8:2
7,8:1
8,8:1
9,8:1
10,8:1
11,8:1
12,8:2
13,8:1
14,8:2
15,8:2
16,8:2
17,8:2
18,8:2
19,8:1
0,9:1
1,9:2
2,9:2
3,9:1
4,9:2
5,9:2
6,9:1
7,9:2
8,9:1
9,9:2
10,9:2
11,9:2
12,9:2
13,9:2
14,9:1
15,9:1
16,9:2
17,9:2
18,9:1
19,9:2
0,10:1
1,10:1
2,10:2
3,10:2
4,10:2
5,10:1
6,10:1
7,10:1
8,10:1
9,10:1
10,10:1
11,10:1
12,10:2
13,10:2
14,10:2
15,10:1
16,10:1
17,10:2
18,10:1
19,10:2
0,11:1
1,11:2
2,11:1
3,11:2
4,11:1
5,11:1
6,11:2
7,11:2
8,11:1
9,11:1
10,11:2
11,11:1
12,11:1
13,11:1
14,11:2
15,11:2
16,11:2
17,11:1
18,11:1
19,11:2
0,12:1
1,12:1
2,12:2
3,12:2
4,12:1
5,12:1
6,12:1
7,12:1
8,12:2
9,12:1
10,12:2
11,12:2
12,12:2
13,12:1
14,12:1
15,12:2
16,12:1
17,12:1
18,12:1
19,12:1
0,13:1
1,13:2
2,13:1
3,13:1
4,13:1
5,13:1
6,13:1
7,13:2
8,13:1
9,13:1
10,13:1
11,13:1
12,13:1
13,13:2
14,13:2
15,13:1
16,13:1
17,13:2
18,13:2
19,13:2
0,14:2
1,14:1
2,14:2
3,14:1
4,14:1
5,14:2
6,14:2
7,14:2
8,14:2
9,14:1
10,14:2
11,14:2
12,14:2
13,14:1
14,14:1
15,14:2
16,14:1
17,14:1
18,14:1
19,14:1
